,Address,City,Postcode,Price,Rooms,Link,DateLastUpdated,EstimatedAnnualRent,Gross_Yield_%,Net_Yield_%,Avg_Sold_Price_2024
0,"Morton Close, London","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/161227922#/?channel=RES_BUY,2025-04-28,31199.36842105263,10.4,4.03,1106534.824411135
1,"Armsby House, Stepney Way, Stepney, London, E1","London, UK",E1,270000.0,1,https://rightmove.co.uk/properties/163750262#/?channel=RES_BUY,2025-07-18,31199.36842105263,11.56,5.02,1106534.824411135
2,"Hindmarsh Close, Wapping, London, E1","London, UK",E1,270000.0,2,https://rightmove.co.uk/properties/87089895#/?channel=RES_BUY,2025-07-17,42500.0,15.74,8.6,1106534.824411135
3,"Mile End Road, Stepney Green","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/164620823#/?channel=RES_BUY,2025-07-17,31199.36842105263,10.4,4.03,1106534.824411135
4,"Spirit Quay, Wapping","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/160722857#/?channel=RES_BUY,2025-07-16,31199.36842105263,10.4,4.03,1106534.824411135
5,"Mount Terrace, London, E1","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/87240273#/?channel=RES_BUY,2025-07-11,31199.36842105263,10.4,4.03,1106534.824411135
6,"Sidney Street, Whitechapel, E1","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/164343869#/?channel=RES_BUY,2025-07-09,31199.36842105263,10.4,4.03,1106534.824411135
7,"Spelman Street, Shoreditch","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/163662887#/?channel=RES_BUY,2025-07-08,31199.36842105263,10.4,4.03,1106534.824411135
8,"Headlam Street, London","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/164253629#/?channel=RES_BUY,2025-07-07,31199.36842105263,10.4,4.03,1106534.824411135
9,"Hayfield Passage, London, E1","London, UK",E1,275000.0,1,https://rightmove.co.uk/properties/164250686#/?channel=RES_BUY,2025-07-07,31199.36842105263,11.35,4.84,1106534.824411135
10,"Hannibal Road, London, E1","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/163989269#/?channel=RES_BUY,2025-07-01,31199.36842105263,10.4,4.03,1106534.824411135
11,"Fairclough Street, Shoreditch","London, UK",E1,275000.0,1,https://rightmove.co.uk/properties/161699714#/?channel=RES_BUY,2025-06-30,31199.36842105263,11.35,4.84,1106534.824411135
12,"Sovereign House, Cambridge Heath Road, London","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/162233783#/?channel=RES_BUY,2025-06-30,31199.36842105263,10.4,4.03,1106534.824411135
13,"Shiraj Tower, 201 Commercial Road, London, E1","London, UK",E1,280000.0,2,https://rightmove.co.uk/properties/163104638#/?channel=RES_BUY,2025-06-26,42500.0,15.18,8.12,1106534.824411135
14,"Tuscan House, Knottisford Street, London, E2","London, UK",E1,250000.0,1,https://rightmove.co.uk/properties/163593413#/?channel=RES_BUY,2025-06-20,31199.36842105263,12.48,5.81,1106534.824411135
15,"117 Hamlets Way, LONDON","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/151745735#/?channel=RES_BUY,2025-06-19,31199.36842105263,10.4,4.03,1106534.824411135
16,"Stepney Way, London, E1","London, UK",E1,270000.0,1,https://rightmove.co.uk/properties/146625269#/?channel=RES_BUY,2025-06-16,31199.36842105263,11.56,5.02,1106534.824411135
17,"East Mount Street, Whitechapel, London, E1","London, UK",E1,275000.0,1,https://rightmove.co.uk/properties/163371659#/?channel=RES_BUY,2025-06-16,31199.36842105263,11.35,4.84,1106534.824411135
18,"Commercial Road, London, E1","London, UK",E1,285000.0,1,https://rightmove.co.uk/properties/159155273#/?channel=RES_BUY,2025-06-16,31199.36842105263,10.95,4.5,1106534.824411135
19,"Maitland House, Bishops Way, Bethnal Green, London, E2","London, UK",E1,270000.0,1,https://rightmove.co.uk/properties/162749585#/?channel=RES_BUY,2025-06-10,31199.36842105263,11.56,5.02,1106534.824411135
20,"Santa Maria Court, Stepney Green","London, UK",E1,300000.0,1,https://rightmove.co.uk/properties/161570315#/?channel=RES_BUY,2025-06-06,31199.36842105263,10.4,4.03,1106534.824411135
21,"Tuscan House, Knottisford Street, London","London, UK",E1,275000.0,1,https://rightmove.co.uk/properties/162924935#/?channel=RES_BUY,2025-06-05,31199.36842105263,11.35,4.84,1106534.824411135
